restaurant_id,Title,Reviews,Rating,Price,Revenue,Cuisine,Cuisine_countries,Cuisine_countries_0,Cuisine_countries_1,Cuisine_countries_2,Cuisine_countries_3,Cuisine_auxes,lat,lng,restaurants_count,Population,Pricexm2
142,San Glicerio 1 dal 1972 di Gianni Arcieri,545,4.5,38.5,545,"Seafood, Mediterranean, Apulian, Southern-Italian",1E+076,1E+022,100,100000000,0,100000,45.51819,9.20836,30,8583,1950
143,Giannasi 1967,468,4.5,,468,"Italian, Fast Food, Mediterranean, European",1.00000000001E+051,0,1.00000000001E+022,0,0,1000000000000,45.44972,9.20585,60,16739,3100
144,SPIB Pizza,596,4.5,,596,Pizza,0,0,0,0,0,10000000,45.50003,9.1816,19,23546,2000
145,Fujiyama Sushi Bar,335,4.5,18,335,"Seafood, Sushi",0,0,0,0,0,100010,45.47528,9.14262,21,26586,2350
146,Locanda del Menarost,457,4,27,457,"Italian, Lombard, Northern-Italian",1.00000001E+040,0,100000001000,1E+021,0,0,45.46535,9.22162,89,31720,4100
147,Azzurra Grill,450,4,,450,"Italian, Pizza, Seafood, Mediterranean",1.000000001E+040,0,100000000100,0,0,10100000,45.47835,9.20674,193,62347,4750
148,Mami Cafe,486,4.5,53.5,486,"Japanese, Seafood, Sushi, Asian",1E+073,1E+019,10000000000,0,0,100010,45.47919,9.21457,193,62347,4750
149,Su Garden,984,4.5,38.5,984,"Chinese, Seafood, Asian, Thai",1.00000000000001E+073,1.00000000000001E+019,0,100,0,100000,45.48035,9.20168,90,18831,3200
150,Lee's Korean Restaurant Nagrin,321,4,31,321,"Asian, Korean",1E+073,1E+019,100000000,0,0,0,45.48353,9.19815,57,5863,4150
151,Ta Bonu! Culurgiones Bar & Gourmet Sardo,60,4.5,14.5,60,"Italian, Mediterranean, Healthy, Sardinian, Southern-Italian",1.000000001E+040,0,100000000100,10000100000000,0,1000000000,45.4831,9.1993,90,18831,3200
152,Harukasushi Milano,375,4,27,375,"Japanese, Seafood, Sushi, Asian, Fusion",1E+073,1E+019,1.00000001E+018,0,0,100010,45.44686,9.17964,81,20008,4000
153,Delicatessen - L'Alto Adige a tavola,,4,47.5,169.613636363636,"Italian, Austrian",1E+071,1E+017,100000000000,0,0,0,45.47854,9.20274,90,18831,3200
154,Passione Pizzeria,163,4.5,15.5,163,"Italian, Pizza, Mediterranean, Neapolitan, Campania, Southern-Italian",1E+067,10000000000000,100000000100,1E+023,0,10000000,45.45957,9.1572,34,27088,4550
